id_da_escola,tipo_da_escola,nome_da_escola,bairro,logradouro_da_entrega,numero,nome_subprefeitura,quantidade_de_material_didatico,latitude,longitude
090,ESCOLA MUNICIPAL,THOMAS JEFFERSON,ACARI,AVENIDA PASTOR MARTIN LUTHER KING JR O,S/N,ACARI,0,-22.81631,-43.340149
248,ESCOLA MUNICIPAL,ASPIRANTE CARLOS ALFREDO,TURIACU,RUA IBIA,105,TURIACU,513,-22.860846,-43.34455
069,ESCOLA MUNICIPAL,CARDEAL ARCOVERDE,MADUREIRA,RUA AGOSTINHO BARBALHO,401,MADUREIRA,0,-22.876082,-43.343369
623,ESCOLA MUNICIPAL,CECILIA MEIRELES,VILA KOSMOS,RUA SD. SERVINO MENGARDA,260,VILA KOSMOS,416,-22.84944,-43.303787
603,ESCOLA MUNICIPAL,ESPIRITO SANTO,CAVALCANTI,RUA HERCULANO PENA ,S/N,CAVALCANTI,352,-22.874299,-43.314719
673,ESCOLA MUNICIPAL,GRECIA,VILA DA PENHA,AVENIDA BRAZ DE PINA,1614,VILA DA PENHA,393,-22.83783,-43.312536
089,ESCOLA MUNICIPAL,MARIO CLAUDIO,RIO COMPRIDO,RUA HADDOCK LOBO,148,RIO COMPRIDO,0,-22.917233,-43.211044
520,ESCOLA MUNICIPAL,BARONESA DE SAAVEDRA,REALENGO,RUA MAL. BIBIANO COSTALAT 483-,639,REALENGO,136,-22.87185,-43.432432
412,ESCOLA MUNICIPAL,MOZART LAGO,OSWALDO CRUZ,RUA JOSE CARVALHO SALGADO .O,S/N,,0,-22.872211,-43.350334
031,ESCOLA MUNICIPAL,PARA,ROCHA MIRANDA,AVENIDA DOS ITALIANOS,500,ROCHA MIRANDA,0,-22.851963,-43.34949
514,ESCOLA MUNICIPAL,PARANA,CASCADURA,AVENIDA ERNANI CARDOSO,316,CASCADURA,534,-22.882408,-43.338111
023,ESCOLA MUNICIPAL,CERVANTES,BENTO RIBEIRO,RUA ABILIO DOS SANTOS,170,BENTO RIBEIRO,0,-22.86459,-43.365952
415,ESCOLA MUNICIPAL,LUIZ DE CAMOES,COLEGIO,ESTRUA LUIZDE CAMOES,1446,COLEGIO,152,-22.846044,-43.338668
016,CENTRO INTEGRADO DE EDUCACAO PUBLICA,JOAO BATISTA DOS SANTOS,CIDADE DE DEUS,RUA EDGAR WERNECK 1.,565,CIDADE DE DEUS,0,-22.947106,-43.359739
570,ESCOLA MUNICIPAL,HELENA LOPES ABRANCHES,GARDENIA AZUL,RUA ACAPORI,495,GARDENIA AZUL,466,-22.96072,-43.353437
528,CENTRO INTEGRADO DE EDUCACAO PUBLICA,MARGARET MEE,RECREIO,RUA MINISTRO ALIOMAR BALEEIRO O,S/N,,51,-23.019811,-43.481721
414,ESCOLA MUNICIPAL,CLAUDIO BESSERMAN VIANNA - BUSSUNDA,RIO DAS PEDRAS,ESTRADA DE JACAREPAGUA,3327,,26,-22.973355,-43.329156
690,ESCOLA MUNICIPAL,FINLANDIA,CAMORIM,RUA IGARAPE-ACU,S/N,CAMORIM,94,-22.971988,-43.410113
